Unnamed: 0,Name,Brand,Price,Processor_brand,Processor_name,Processor_variant,Processor_gen,RAM_GB,RAM_type,Storage_capacity_GB,Storage_type,Graphics_name,Graphics_brand,Graphics_GB,Display_size_inches,Touch_screen,Operating_system
0,580,11,50399,0,4,74,5,8,1,512,2,22,0,4,15,1,11
1,837,17,26690,0,3,87,7,8,7,512,2,19,0,5,15,0,11
2,426,11,37012,3,23,20,12,8,1,512,2,84,4,5,15,0,11
3,992,23,69990,3,24,24,12,16,7,512,2,79,4,5,13,0,11
4,994,24,23990,3,23,8,11,8,5,512,2,84,4,5,15,0,11
5,990,23,42990,3,24,23,12,8,5,512,2,72,4,5,15,0,11
6,1009,28,102990,3,26,60,14,16,2,1000,2,110,5,8,16,0,11
7,295,8,33780,3,23,20,12,8,1,512,2,84,4,5,15,0,11
8,431,11,54990,3,24,23,12,16,1,512,2,70,4,5,15,0,11
9,172,4,55980,3,24,27,12,16,1,512,2,77,4,5,15,0,11
10,1003,27,24990,3,24,13,11,8,1,512,2,53,4,5,15,0,11
11,824,17,26739,0,3,69,5,8,1,512,2,19,0,5,15,0,11
12,592,11,81990,0,5,98,7,16,2,1000,2,101,5,6,16,0,11
13,77,3,76990,1,7,23,10,8,1,256,2,37,3,5,13,0,7
14,1014,29,32990,3,24,23,12,16,1,512,2,56,4,5,15,0,11
15,131,4,79899,3,25,17,11,16,1,1000,2,103,5,4,15,0,11
16,750,17,59990,3,24,25,12,16,2,512,2,100,5,4,15,0,11
17,80,3,114900,1,10,23,10,8,1,256,2,36,3,5,13,0,7
18,305,8,36940,0,4,72,5,8,1,512,2,26,0,5,15,0,11
19,118,4,53890,3,24,14,11,8,1,512,2,100,5,4,15,0,11
20,784,17,33500,0,3,88,7,8,1,512,2,17,0,5,15,0,11
21,387,10,69990,3,25,33,12,16,1,512,2,109,5,6,15,0,11
22,189,4,46890,0,4,74,5,8,1,512,2,27,0,5,16,0,11
23,78,3,99900,1,8,23,10,8,1,256,2,6,3,5,13,0,7
24,976,23,75990,3,19,19,10,16,6,512,2,53,4,5,15,0,11
25,396,11,38990,3,23,20,12,8,1,512,2,72,4,5,14,0,11
26,987,23,299999,3,22,62,10,32,8,1000,2,109,5,6,16,1,11
